host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,100%,t,2.0,12.0,t,la Vila OlÃ­mpica del Poblenou,41.39253234863281,2.19325590133667,Entire rental unit,Entire home/apt,4,1.0,2.0,$266.00,1,365,1.0,6.0,365.0,1125.0,2.6,968.8,8,29,59,135,90,18,0,78,22,108,28728.0,4.68,4.7,4.4,4.99,4.99,4.86,4.31,t,2,0.65
83%,28%,f,426.0,618.0,t,les Corts,41.3826,2.13075,Entire rental unit,Entire home/apt,2,1.0,2.0,$140.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,29,59,89,364,1,0,0,108,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,413,0.01
98%,97%,f,41.0,58.0,t,la Dreta de l'Eixample,41.39993,2.16536,Entire rental unit,Entire home/apt,4,1.0,1.0,$186.00,3,1125,1.0,5.0,1125.0,1125.0,1.7,1125.0,9,29,59,77,51,8,0,77,11,48,8928.0,4.41,4.43,4.45,4.78,4.8,4.73,4.16,t,39,0.41
98%,97%,f,41.0,58.0,t,la Vila de GrÃ cia,41.40735,2.15885,Entire rental unit,Entire home/apt,7,3.0,5.0,$187.00,3,1125,1.0,5.0,1125.0,1125.0,1.6,1125.0,13,39,69,87,65,22,0,87,15,132,24684.0,4.49,4.68,4.48,4.82,4.83,4.86,4.25,t,39,0.47
98%,97%,f,41.0,58.0,t,la Vila de GrÃ cia,41.40399,2.15565,Entire rental unit,Entire home/apt,7,3.0,4.0,$252.00,3,1125,1.0,5.0,1125.0,1125.0,1.6,1125.0,9,39,64,77,166,45,1,77,39,255,64260.0,4.48,4.6,4.55,4.77,4.8,4.9,4.38,t,39,1.1
98%,98%,t,15.0,34.0,t,el Fort Pienc,41.39271,2.17974,Entire condo,Entire home/apt,6,3.0,8.0,$299.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,24,54,274,114,19,2,72,13,114,34086.0,4.61,4.65,4.66,4.75,4.73,4.77,4.41,t,15,0.76
100%,99%,t,7.0,11.0,t,la Nova Esquerra de l'Eixample,41.38184,2.15119,Entire rental unit,Entire home/apt,4,2.0,2.0,$186.00,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,22,46,306,288,44,6,59,41,255,47430.0,4.76,4.79,4.68,4.78,4.79,4.76,4.59,t,1,2.05
0%,0%,f,2.0,2.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38422,2.18412,Entire rental unit,Entire home/apt,6,2.0,4.0,$220.00,1,730,1.0,4.0,730.0,730.0,3.8,730.0,0,4,18,179,194,1,0,24,2,6,1320.0,4.56,4.69,4.56,4.74,4.88,4.97,4.54,f,2,1.4
100%,100%,t,2.0,3.0,t,la Vila de GrÃ cia,41.40508,2.15491,Entire home,Entire home/apt,3,3.0,3.0,$287.00,1,10,1.0,2.0,1125.0,1125.0,1.0,1125.0,5,14,32,276,508,56,5,51,74,255,73185.0,4.91,4.93,4.93,4.99,4.99,4.96,4.86,f,2,3.16
100%,99%,f,5.0,17.0,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40502,2.20802,Entire rental unit,Entire home/apt,4,2.0,2.0,$152.00,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,3,13,32,300,563,53,3,50,64,255,38760.0,4.69,4.79,4.58,4.92,4.9,4.67,4.64,t,5,3.49
100%,100%,f,1.0,2.0,t,Sant Antoni,41.375553476091895,2.1625359295673867,Entire condo,Entire home/apt,4,2.0,2.0,$166.00,2,35,1.0,3.0,1125.0,1125.0,2.4,1125.0,3,26,56,317,465,40,2,74,40,240,39840.0,4.66,4.7,4.64,4.71,4.76,4.8,4.55,f,1,2.83
91%,86%,f,4.0,5.0,t,la Nova Esquerra de l'Eixample,41.37911,2.15356,Entire rental unit,Entire home/apt,5,3.0,3.0,$256.00,1,1125,1.0,5.0,1125.0,1125.0,4.3,1125.0,5,30,60,335,143,5,1,79,5,30,7680.0,4.68,4.82,4.59,4.78,4.84,4.84,4.55,f,4,0.89
83%,28%,f,426.0,618.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38545,2.18117,Entire rental unit,Entire home/apt,6,3.0,4.0,$240.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,30,60,90,365,5,0,0,108,3,0,0.0,4.8,4.8,4.8,5.0,5.0,5.0,5.0,f,413,0.13
83%,28%,f,426.0,618.0,t,el Barri GÃ²tic,41.38148,2.18123,Entire rental unit,Entire home/apt,3,1.0,3.0,$250.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,362,5,1,0,108,2,6,1500.0,4.8,4.4,4.8,5.0,4.8,5.0,4.6,f,413,0.03
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39639,2.17641,Entire rental unit,Entire home/apt,6,3.0,4.0,$238.00,1,330,1.0,3.0,330.0,330.0,1.3,330.0,30,60,90,365,9,0,0,108,1,0,0.0,3.75,3.75,4.38,4.63,4.25,4.25,3.75,f,413,0.06
100%,82%,t,5.0,6.0,t,la Dreta de l'Eixample,41.38992,2.16974,Entire rental unit,Entire home/apt,2,1.0,1.0,$800.00,3,360,3.0,3.0,360.0,360.0,3.0,360.0,19,41,61,329,228,0,0,72,8,0,0.0,4.97,4.98,4.98,4.97,4.99,5.0,4.92,f,5,1.4
33%,22%,f,1.0,16.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38203,2.18362,Entire rental unit,Entire home/apt,6,3.0,6.0,$555.00,2,60,2.0,4.0,60.0,60.0,2.1,60.0,4,34,64,330,279,3,0,81,7,18,9990.0,4.63,4.69,4.75,4.83,4.81,4.9,4.54,f,1,1.7
100%,99%,t,3.0,7.0,t,la Nova Esquerra de l'Eixample,41.38268,2.15044,Entire rental unit,Entire home/apt,2,2.0,2.0,$179.00,2,7,2.0,3.0,1125.0,1125.0,2.0,1125.0,7,20,31,187,211,44,4,31,53,255,45645.0,4.86,4.93,4.91,4.88,4.92,4.77,4.73,f,3,1.29
83%,28%,f,426.0,618.0,t,el Barri GÃ²tic,41.38035,2.17821,Entire rental unit,Entire home/apt,5,2.0,5.0,$211.00,2,330,2.0,2.0,330.0,330.0,2.0,330.0,23,53,83,358,11,0,0,101,0,0,0.0,4.29,4.18,4.45,4.64,4.64,4.45,4.18,f,413,0.07
100%,70%,f,1.0,1.0,t,el Poble Sec,41.37374,2.15852,Entire rental unit,Entire home/apt,7,3.0,3.0,$118.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,5,19,43,311,696,97,2,61,95,255,30090.0,4.65,4.71,4.58,4.83,4.92,4.84,4.6,f,1,4.26
100%,57%,t,1.0,1.0,t,la Vila de GrÃ cia,41.40413,2.15692,Entire home,Entire home/apt,4,2.0,4.0,$126.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,29,59,149,113,4,0,77,3,240,30240.0,4.72,4.76,4.74,4.77,4.82,4.86,4.6,f,1,0.76
100%,99%,t,9.0,14.0,t,el Barri GÃ²tic,41.37973,2.17458,Entire serviced apartment,Entire home/apt,5,2.0,3.0,$294.00,1,365,1.0,5.0,365.0,1125.0,2.2,519.1,0,3,17,169,223,26,1,23,36,156,45864.0,4.71,4.6,4.8,4.68,4.83,4.87,4.65,f,9,1.63
83%,28%,f,426.0,618.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3884,2.17936,Entire rental unit,Entire home/apt,4,1.0,2.0,$250.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,30,60,90,356,3,0,0,108,0,0,0.0,5.0,5.0,4.67,4.33,5.0,5.0,4.33,f,413,0.02
100%,88%,t,1.0,1.0,t,el Putxet i el FarrÃ³,41.40864,2.14557,Entire home,Entire home/apt,8,4.0,5.0,$652.00,2,1125,2.0,4.0,1125.0,1125.0,2.4,1125.0,20,46,76,122,126,27,3,92,8,162,105624.0,4.85,4.9,4.84,4.95,4.94,4.78,4.64,f,1,0.92
