host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,100%,f,1.0,1.0,f,el Barri GÃ²tic,41.38140009606547,2.1750738425277247,Entire rental unit,Entire home/apt,6,3.0,4.0,$72.00,31,100,31.0,31.0,100.0,100.0,31.0,100.0,1,25,55,235,0,0,0,73,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
87%,6%,f,293.0,701.0,t,la Dreta de l'Eixample,41.3906955,2.1647821,Entire rental unit,Entire home/apt,4,1.0,3.0,$95.00,20,365,20.0,20.0,365.0,365.0,20.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,la Dreta de l'Eixample,41.3906955,2.1647821,Entire rental unit,Entire home/apt,4,1.0,3.0,$128.00,20,365,20.0,20.0,365.0,365.0,20.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3833804,2.1828473,Entire rental unit,Entire home/apt,4,2.0,2.0,$90.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3833804,2.1828473,Entire rental unit,Entire home/apt,4,2.0,2.0,$95.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3836911,2.1805892,Entire rental unit,Entire home/apt,4,3.0,5.0,$95.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3836911,2.1805892,Entire rental unit,Entire home/apt,4,3.0,5.0,$95.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
99%,94%,f,282.0,428.0,t,la Nova Esquerra de l'Eixample,41.38468,2.14533,Entire rental unit,Entire home/apt,4,2.0,3.0,$170.00,2,365,1.0,5.0,365.0,365.0,4.3,365.0,6,28,58,333,5,5,3,77,0,30,5100.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,t,130,3.57
99%,94%,f,282.0,428.0,t,la Nova Esquerra de l'Eixample,41.38237667120023,2.147886771769221,Entire rental unit,Entire home/apt,2,1.0,1.0,$110.00,2,365,1.0,5.0,365.0,365.0,4.3,365.0,4,30,60,335,5,5,4,79,0,30,3300.0,4.6,5.0,5.0,4.8,4.6,4.6,4.8,t,130,4.41
20%,74%,f,1.0,8.0,t,"Sant Pere, Santa Caterina i la Ribera",41.3879854,2.1771232,Entire rental unit,Entire home/apt,6,2.0,2.0,$220.00,3,32,3.0,3.0,1125.0,1125.0,3.0,1125.0,30,60,90,365,1,1,0,108,0,6,1320.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,t,1,0.73
87%,6%,f,293.0,701.0,t,Vilapicina i la Torre Llobeta,41.4285706,2.1831319,Entire rental unit,Entire home/apt,5,3.0,3.0,$250.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,29,59,89,364,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
100%,99%,t,4.0,33.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38244757149406,2.1817304011333003,Entire rental unit,Entire home/apt,4,2.0,3.0,$230.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,15,36,57,317,3,3,1,75,0,18,4140.0,4.33,4.0,4.33,4.67,5.0,4.67,4.33,t,4,1.96
100%,97%,t,2.0,4.0,t,la Dreta de l'Eixample,41.39647,2.16269,Entire rental unit,Entire home/apt,4,1.0,2.0,$214.00,3,365,1.0,3.0,365.0,365.0,3.0,365.0,9,25,55,235,1,1,1,73,0,6,1284.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,1.0
87%,6%,f,293.0,701.0,t,la Nova Esquerra de l'Eixample,41.3793938,2.1535869,Entire rental unit,Entire home/apt,4,2.0,3.0,$250.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,29,59,89,364,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,Vilapicina i la Torre Llobeta,41.4283576,2.1838869,Entire rental unit,Entire home/apt,5,2.0,3.0,$250.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,29,59,89,364,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,Sant Gervasi - Galvany,41.3984174,2.1496343,Entire rental unit,Entire home/apt,5,3.0,4.0,$110.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
87%,6%,f,293.0,701.0,t,Sant Gervasi - Galvany,41.396667,2.1514129,Entire rental unit,Entire home/apt,6,4.0,5.0,$200.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,234,1.6996607294317219
83%,28%,f,426.0,618.0,t,el Barri GÃ²tic,41.38093,2.17665,Entire rental unit,Entire home/apt,10,4.0,10.0,$420.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,28,58,88,280,0,0,0,106,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
83%,28%,f,426.0,618.0,t,el Barri GÃ²tic,41.38079,2.17781,Entire rental unit,Entire home/apt,15,6.0,15.0,$630.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,279,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
98%,88%,f,9.0,14.0,t,el Fort Pienc,41.40005,2.18254,Private room in rental unit,Private room,2,1.0,1.0,$66.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,7,32,55,330,1,1,0,74,0,6,396.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,f,6,0.58
92%,98%,f,1.0,1.0,f,el Poble Sec,41.37439,2.15464,Entire rental unit,Entire home/apt,4,2.0,1.0,$125.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,7,26,43,205,2,2,1,43,0,12,1500.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,t,1,1.87
97%,97%,f,45.0,49.0,t,el Fort Pienc,41.3929896,2.1806231,Entire rental unit,Entire home/apt,8,3.0,6.0,$177.00,1,365,1.0,5.0,999.0,999.0,1.4,999.0,15,38,66,329,5,5,4,84,0,30,5310.0,3.2,3.4,3.4,3.8,3.4,4.2,2.8,f,44,4.05
97%,97%,f,45.0,49.0,t,el Fort Pienc,41.3929896,2.1806231,Entire rental unit,Entire home/apt,8,3.0,6.0,$179.00,1,365,1.0,5.0,999.0,999.0,1.4,999.0,3,22,50,306,2,2,2,68,0,12,2148.0,4.0,4.5,4.0,4.0,5.0,4.5,4.0,t,44,2.0
97%,97%,f,45.0,49.0,t,el Fort Pienc,41.3931416,2.1801573,Entire rental unit,Entire home/apt,8,3.0,6.0,$177.00,1,365,1.0,5.0,999.0,999.0,1.4,999.0,7,25,51,322,5,5,4,69,0,30,5310.0,3.8,4.2,3.8,4.2,4.2,4.4,4.0,t,44,4.05
97%,97%,f,45.0,49.0,t,el Putxet i el FarrÃ³,41.407723,2.1468602,Entire rental unit,Entire home/apt,8,3.0,7.0,$201.00,1,365,1.0,5.0,999.0,999.0,1.4,999.0,12,40,61,214,2,2,1,79,0,12,2412.0,1.5,1.0,1.0,3.0,3.0,4.5,1.0,t,44,1.46
38%,76%,f,11.0,12.0,f,el Camp de l'Arpa del Clot,41.41394,2.18291,Entire rental unit,Entire home/apt,4,1.0,2.0,$57.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,7,37,67,342,0,0,0,86,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,10,1.6996607294317219
100%,68%,f,12.0,26.0,t,la Verneda i la Pau,41.42389,2.20836,Entire rental unit,Entire home/apt,3,1.0,0.0,$150.00,4,365,2.0,4.0,365.0,365.0,4.0,365.0,25,55,85,86,2,2,1,86,0,16,2400.0,4.5,4.5,5.0,4.5,4.5,4.5,4.0,f,11,1.54
100%,100%,f,1.0,4.0,t,la Sagrada FamÃ­lia,41.40215,2.17128,Private room in rental unit,Private room,2,1.0,1.0,$91.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,14,44,74,349,2,2,0,92,0,12,1092.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,t,1,1.13
95%,91%,f,3.0,3.0,f,el Raval,41.38215,2.17213,Entire rental unit,Entire home/apt,2,2.0,2.0,$72.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,15,45,75,350,0,0,0,93,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
99%,99%,f,24.0,33.0,t,el Raval,41.38378088154014,2.169451200257584,Private room in rental unit,Private room,4,1.0,1.0,$127.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,23,40,40,40,1,1,0,40,0,6,762.0,3.0,3.0,4.0,4.0,1.0,5.0,3.0,t,24,0.91
94%,75%,f,12.0,26.0,t,el Barri GÃ²tic,41.38590592621053,2.173691786517488,Entire rental unit,Entire home/apt,3,1.0,2.0,$205.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,7,30,60,331,2,2,1,76,0,12,2460.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1.62
100%,93%,f,1.0,11.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38306680755649,2.181277631578194,Entire rental unit,Entire home/apt,10,5.0,5.0,$476.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,15,29,49,229,0,0,0,67,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
76%,75%,f,2.0,2.0,t,el Barri GÃ²tic,41.38199,2.17317,Private room in rental unit,Private room,2,1.0,1.0,$81.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,20,50,80,355,1,1,1,98,0,6,486.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,f,2,1.0
100%,97%,t,22.0,23.0,t,la Nova Esquerra de l'Eixample,41.3842871,2.149272,Entire rental unit,Entire home/apt,2,1.0,2.0,$223.00,1,1125,1.0,4.0,1125.0,1125.0,3.0,1125.0,6,27,57,332,2,2,0,76,0,12,2676.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,21,1.5
100%,100%,t,8.0,11.0,t,la Font de la Guatlla,41.36904,2.14204,Entire rental unit,Entire home/apt,5,3.0,3.0,$84.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,25,55,85,360,0,0,0,104,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,4,1.6996607294317219
100%,100%,f,3.0,8.0,t,la Dreta de l'Eixample,41.397011005864826,2.172383154278575,Private room in rental unit,Private room,5,1.0,2.0,$407.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,26,43,43,43,0,0,0,43,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,3,1.6996607294317219
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39703,2.17035,Entire rental unit,Entire home/apt,12,6.0,9.0,$926.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,123,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39514,2.17188,Entire rental unit,Entire home/apt,12,6.0,9.0,$926.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,123,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39502,2.17075,Entire rental unit,Entire home/apt,12,6.0,9.0,$926.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,247,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
91%,98%,f,4.0,4.0,t,el Parc i la Llacuna del Poblenou,41.4003739,2.1922329,Entire rental unit,Entire home/apt,2,1.0,1.0,$227.00,1,365,1.0,1.0,13.0,365.0,1.0,111.4,22,52,82,255,4,4,1,101,0,24,5448.0,4.75,4.75,5.0,4.5,5.0,4.5,4.25,t,4,2.79
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39553,2.17061,Entire rental unit,Entire home/apt,16,8.0,12.0,"$1,235.00",1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,111,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
91%,98%,f,4.0,4.0,t,el Parc i la Llacuna del Poblenou,41.4003739,2.1922329,Entire rental unit,Entire home/apt,2,1.0,1.0,$332.00,1,365,1.0,1.0,13.0,365.0,1.0,111.4,13,41,71,244,0,0,0,90,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,4,1.6996607294317219
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39681,2.17258,Entire rental unit,Entire home/apt,16,8.0,12.0,"$1,235.00",1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,111,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
91%,98%,f,4.0,4.0,t,el Parc i la Llacuna del Poblenou,41.3976233,2.188975,Entire rental unit,Entire home/apt,2,1.0,1.0,$348.00,1,365,1.0,1.0,13.0,365.0,1.0,111.4,16,43,72,240,0,0,0,86,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,4,1.6996607294317219
97%,99%,f,904.0,966.0,t,Sant Gervasi - la Bonanova,41.40831,2.13671,Entire rental unit,Entire home/apt,4,2.0,3.0,$80.00,30,330,31.0,31.0,330.0,330.0,31.0,330.0,0,17,47,287,0,0,0,66,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,514,1.6996607294317219
91%,98%,f,4.0,4.0,t,el Parc i la Llacuna del Poblenou,41.4003739,2.1922329,Entire rental unit,Entire home/apt,4,1.0,2.0,$241.00,1,365,1.0,1.0,13.0,365.0,1.0,111.4,28,58,88,261,0,0,0,107,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,4,1.6996607294317219
83%,28%,f,426.0,618.0,t,la Dreta de l'Eixample,41.39512,2.17256,Entire rental unit,Entire home/apt,16,10.0,15.0,"$1,543.00",1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,80,80,0,0,0,80,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
71%,94%,f,1.0,1.0,t,el Poblenou,41.4062928,2.2019013,Entire rental unit,Entire home/apt,6,2.0,2.0,$171.00,4,365,2.0,4.0,365.0,365.0,3.7,365.0,11,25,55,75,0,0,0,70,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
93%,97%,t,5.0,5.0,t,el Raval,41.37712,2.17543,Entire rental unit,Entire home/apt,6,3.0,4.0,$16.00,32,365,32.0,32.0,365.0,365.0,32.0,365.0,28,58,88,363,0,0,0,106,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
100%,100%,f,1.0,1.0,t,la Vila de GrÃ cia,41.39993286959732,2.1574623228850776,Entire rental unit,Entire home/apt,5,2.0,3.0,$222.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,6,21,51,298,1,1,0,68,0,6,1332.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,0.73
100%,97%,f,2.0,3.0,t,la Barceloneta,41.38076639447538,2.1893807769691978,Private room in rental unit,Private room,2,1.0,1.0,$71.00,2,43,2.0,2.0,43.0,43.0,2.0,43.0,20,50,80,80,2,2,1,80,0,12,852.0,5.0,5.0,4.5,5.0,4.5,5.0,5.0,f,2,1.22
99%,98%,f,324.0,354.0,t,la Nova Esquerra de l'Eixample,41.3849228,2.143038900000001,Entire rental unit,Entire home/apt,8,4.0,5.0,$411.00,60,365,60.0,60.0,365.0,365.0,60.0,365.0,0,0,14,289,1,1,1,33,0,120,49320.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,t,49,1.0
99%,54%,f,18.0,64.0,t,el Raval,41.38187,2.17029,Private room in rental unit,Private room,2,1.0,1.0,$81.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,30,60,90,90,1,1,1,90,0,6,486.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,f,7,1.0
100%,100%,f,1.0,1.0,t,la Dreta de l'Eixample,41.39072709659946,2.1627490571416272,Private room in rental unit,Private room,3,1.0,2.0,$124.00,2,40,2.0,2.0,40.0,40.0,2.0,40.0,26,56,86,361,0,0,0,104,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
76%,75%,f,2.0,2.0,t,el Raval,41.380217740136445,2.171112323015071,Entire rental unit,Entire home/apt,2,1.0,1.0,$168.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,18,41,71,346,0,0,0,89,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,2,1.6996607294317219
99%,98%,f,140.0,178.0,t,el Camp de l'Arpa del Clot,41.41022,2.18215,Entire rental unit,Entire home/apt,4,1.0,2.0,$66.00,1,1125,1.0,2.0,2.0,1125.0,1.7,377.9,0,3,33,253,0,0,0,52,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,101,1.6996607294317219
100%,92%,f,118.0,133.0,t,el Poble Sec,41.37339060343919,2.1606286848576284,Entire rental unit,Entire home/apt,4,2.0,0.0,$103.00,33,1125,33.0,33.0,1125.0,1125.0,33.0,1125.0,0,16,46,266,0,0,0,64,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,85,1.6996607294317219
100%,100%,f,5.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38329,2.18125,Private room in bed and breakfast,Private room,4,1.0,2.0,$108.00,2,365,1.0,2.0,365.0,365.0,2.0,365.0,20,50,80,80,0,0,0,80,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
99%,98%,f,324.0,354.0,t,Sants,41.38471647027264,2.1420586043431094,Private room in rental unit,Private room,1,1.0,1.0,$60.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,11,41,316,0,0,0,60,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,49,1.6996607294317219
100%,100%,f,5.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38381,2.18281,Private room in bed and breakfast,Private room,3,1.0,2.0,$89.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,20,50,80,80,0,0,0,80,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
100%,100%,f,5.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38543,2.18061,Private room in bed and breakfast,Private room,3,1.0,2.0,$101.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,13,43,73,73,0,0,0,73,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
100%,100%,f,5.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38485,2.18274,Private room in bed and breakfast,Private room,3,1.0,2.0,$105.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,23,53,83,83,0,0,0,83,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
100%,100%,f,5.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38527,2.18107,Private room in bed and breakfast,Private room,3,1.0,2.0,$90.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,21,47,77,77,0,0,0,77,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,5,1.6996607294317219
100%,100%,f,4.0,5.0,f,el Barri GÃ²tic,41.38127,2.17938,Private room in bed and breakfast,Private room,3,1.0,2.0,$116.00,3,365,1.0,3.0,365.0,365.0,3.0,365.0,13,38,68,68,0,0,0,68,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,4,1.6996607294317219
100%,100%,f,4.0,5.0,f,"Sant Pere, Santa Caterina i la Ribera",41.38235,2.18146,Private room in bed and breakfast,Private room,2,0.0,2.0,$82.00,2,365,1.0,2.0,365.0,365.0,2.0,365.0,9,39,69,69,0,0,0,69,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,4,1.6996607294317219
100%,100%,f,4.0,5.0,f,el Barri GÃ²tic,41.38186,2.18127,Private room in bed and breakfast,Private room,4,0.0,2.0,$106.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,15,42,72,72,0,0,0,72,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,4,1.6996607294317219
99%,98%,f,324.0,354.0,t,Sants,41.38432,2.14227,Private room in rental unit,Private room,2,1.0,1.0,$62.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,13,32,62,334,0,0,0,81,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,49,1.6996607294317219
99%,98%,f,324.0,354.0,t,la Nova Esquerra de l'Eixample,41.38538683466065,2.144165792684274,Private room in rental unit,Private room,2,1.0,1.0,$62.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,0,0,266,0,0,0,10,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,49,1.6996607294317219
100%,50%,f,1.0,1.0,t,el GuinardÃ³,41.42557,2.17442,Private room in rental unit,Private room,1,1.0,1.0,$14.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,0,9,9,188,0,0,0,26,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,1,1.6996607294317219
92%,99%,f,77.0,131.0,t,Sant Gervasi - Galvany,41.39522849999999,2.1504812,Room in hotel,Private room,2,1.0,1.0,$148.00,1,1125,1.0,4.0,14.0,1125.0,2.7,805.4,3,13,35,303,2,2,1,50,0,12,1776.0,4.5,4.5,4.0,5.0,3.5,4.0,4.0,t,75,1.4
100%,94%,f,31.0,98.0,t,la Dreta de l'Eixample,41.40044,2.16526,Entire rental unit,Entire home/apt,2,1.0,1.0,$140.00,1,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,9,35,65,339,0,0,0,83,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,30,1.6996607294317219
100%,93%,f,31.0,52.0,t,el Poble Sec,41.37401,2.16417,Entire rental unit,Entire home/apt,2,2.0,2.0,$185.00,1,365,3.0,6.0,365.0,365.0,3.1,365.0,5,17,47,279,0,0,0,65,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,t,28,1.6996607294317219
83%,28%,f,426.0,618.0,t,Sant Antoni,41.37999,2.15812,Entire rental unit,Entire home/apt,16,15.0,1.0,"$1,402.00",1,330,1.0,1.0,330.0,330.0,1.0,330.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
